pid,label,_date,object_type,location,description
001.jpeg,Street-View,2/12/23,Kirkwood,Kirkwood Ave.,"Kirkwood in Febreurary. Kirkwood, and its surrounding areas is a hot spot for local small businesses."
002.jpeg,Entrance,3/3/23,Cup & Kettle Tea,208 N Walnut St.,"Cup & Kettle Tea, a cozy tea shop downtown. "
003.jpeg,Interior,3/3/23,Cup & Kettle Tea,208 N Walnut St. ,"The inside of Cup & Kettle Tea provides a warm, homey environment for customers. Reviews describe it as a ""charming atmosphere."""
004.jpeg,Paintings,3/3/23,Cup & Kettle Tea,208 N Walnut St. ,Art on the walls of Cup & Kettle Tea.
005.jpeg,Kitchen,3/3/23,Cup & Kettle Tea,208 N Walnut St.,The impecable service and environment are some of the few attracting details about the shop.
006.jpeg,Tea,3/3/23,Cup & Kettle Tea,208 N Walnut St. ,The signature wall of tea. Cup & Kettle Tea provides a wide range of teas and various gluten free and vegan snacks. 
007.jpeg,Dining-Area,2/24/23,BuffaLouie's,114 S Indiana Ave.,BuffaLouie's is a local wingshop favored by locals and IU students. The Bloomington location is the only location for BuffaLouie's so it is quite literally something you can only get in this college town, which adds to the uniqueness of Bloomington businesses and restaurants. 
008.jpeg,Mural,2/24/23,BuffaLouie's,114 S Indiana Ave.,"Decorated in IU memorabilia, BuffaLouie's provides a sense of community among IU fans, students, and alumni. This small business is Bloomington specific and Hoosier proud. It adds a uniqueness to the downtown Bloomington that can't be found anywhere else."
009.jpeg,Stadium,2/24/23,BuffaLouie's,114 S Indiana Ave.,BuffaLouie's is a spot to be at to watch a game and have a good time with family and friends. The IU pride is not lacking at BuffaLouie's and brings people together in a unique way on game days.
010.jpeg,Soma-interior,3/28/23,Soma,1400 E Third St.,"Soma has been described as a cozy, comforting place for students and locals. "
011.jpeg,Student-study,3/28/23,Soma,1400 E Third St.,"Soma is a great place for students, with multiple locations throughout campus to accomadate everyone. A great place to study or hang out with friends. "
