pid,label,_date,object_type,location,description,order,layout,collection,thumbnail,full,manifest
obj1,Street-View,2/12/23,Kirkwood,Kirkwood Ave.,"Kirkwood in Febreurary. Kirkwood, and its surrounding areas is a hot spot for local small businesses. The Sample Gates are an IU-Bloomington campus staple that looks out over Kirkwood Ave. ",00,businesses_item,businesses,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,Enterance,3/3/23,Cup & Kettle Tea,208 N Walnut St.,"Cup & Kettle Tea, a cozy tea shop downtown. ",01,businesses_item,businesses,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj3,Seating,3/3/23,Cup & Kettle Tea,208 N Walnut St. ,"The inside of Cup & Kettle Tea provides a warm, homey environment for customers. Reviews describe it as a ""charming atmosphere.""",02,businesses_item,businesses,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj4,Kitchen,3/3/23,Cup & Kettle Tea,208 N Walnut St.,The impecable service and environment are some of the few attracting details about the shop.,03,businesses_item,businesses,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json
obj5,Tea,3/3/23,Cup & Kettle Tea,208 N Walnut St. ,The signature wall of tea. Cup & Kettle Tea provides a wide range of teas and various gluten free and vegan snacks. ,04,businesses_item,businesses,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj5/full/1140,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json
obj6,Exterior,2/24/23,BuffaLouie's,114 S Indiana Ave.,"BuffaLouie's is a local wingshop favored by locals and IU students. The Bloomington location is the only location for BuffaLouie's so it is quite literally something you can only get in this college town, which adds to the uniqueness of Bloomington businesses and restaurants.",05,businesses_item,businesses,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj6/full/1140,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json
obj7,Mural,2/24/23,BuffaLouie's,114 S Indiana Ave.,"Decorated in IU memorabilia, BuffaLouie's provides a sense of community among IU fans, students, and alumni. This small business is Bloomington specific and Hoosier proud. It adds a uniqueness to the downtown Bloomington that can't be found anywhere else.",06,businesses_item,businesses,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj7/full/1140,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json
obj8,Stadium,2/24/23,BuffaLouie's,114 S Indiana Ave.,BuffaLouie's is a spot to be at to watch a game and have a good time with family and friends. The IU pride is not lacking at BuffaLouie's and brings people together in a unique way on game days.,07,businesses_item,businesses,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj8/full/1140,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json
obj9,Interior,3/28/23,Soma,1400 E Third St.,"Soma has been described as a cozy, comforting place for students and locals. ",08,businesses_item,businesses,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json
obj10,Student-study,3/28/23,Soma,1400 E Third St.,"Soma is a great place for students, with multiple locations throughout campus to accomadate everyone. A great place to study or hang out with friends. ",09,businesses_item,businesses,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json
obj11,Interior,4/1/23,Landlocked Music,115 S Walnut St,"Landlocked Music is a music shop located just south of the downtown square, on Walnut Ave. This shop is a great place to buy, sell, or trade any new or used CDs, vinyls, DVDs, etc. that you may have. ",10,businesses_item,businesses,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj11/full/1140,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json
obj12,Interior-2,4/1/23,Landlocked Music,115 S Walnut St,"Landlocked music has a plethora of albums available for purchase or trade. The top 5 selling albums in their collection include Metallica - 72 Seasons, El Michels Affair & Black Thought - Glorious Game, 3. Neil Young - Somewhere Under the Rainbow 1973 / Ducks - High Flyin', Wednesday - Rat Saw God, Boygenius - The Record",11,businesses_item,businesses,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj12/full/1140,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json
obj13,Interior-3,4/1/23,Landlocked Music,115 S Walnut St,Landlocked Music opened in March of 2006 and has been a Bloomington staple for the music community ever since. It has a wide variety of music to choose from and highlights different songs each week. ,12,businesses_item,businesses,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj13/full/1140,/0/default.jpg",/img/derivatives/iiif/obj13/manifest.json
obj14,Exterior,4/1/23,Lola & Co,114 N Walnut St,Lola & Co is a vintage lifestyle boutique located on Walnut Ave in downtown Bloomington. Here you can find anything you may need from home decor and kitchen ware to clothes and accessories. This store creates a comfortable and homey environment from the second that you walk in. ,13,businesses_item,businesses,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj14/full/1140,/0/default.jpg",/img/derivatives/iiif/obj14/manifest.json
obj15,Clothing,4/1/23,Gather,116 N Walnut St,"Gather is a locally owned boutique with all handmade items. It is located in downtown Bloomington, just off of Walnut Ave. Gather opened in 2013 and has been selling the work of independent artists ever since. ",14,businesses_item,businesses,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj15/full/1140,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json
obj16,Plants,4/1/23,Gather,116 N Walnut St,"Gather is owned and run by women and takes pride in the uniqueness of their products. Everything they sell is handmade. You can find anything such as jewelry, clothes, toys, bath and body products, and more. ",15,businesses_item,businesses,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj16/full/1140,/0/default.jpg",/img/derivatives/iiif/obj16/manifest.json
obj17,Accessories,4/1/23,Gather,166 N Walnut St,"Once a month, Gather hosts a craft night to encourage the community to try their hand at creating their own works of art and immerse themselves in creativity. ",16,businesses_item,businesses,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj17/full/1140,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json
